"GEOID","totalE","ownerE","renterE"
"42101013602",1981,1007,974
"42101013701",957,424,533
"42101013702",1938,1042,896
"42101013800",930,357,573
"42101013900",1221,322,899
"42101014000",2308,411,1897
"42101014100",1380,278,1102
"42101014201",1609,669,940
"42101014202",1389,522,867
"42101014300",957,568,389
"42101014400",2671,1400,1271
"42101014500",920,237,683
"42101014600",1200,403,797
"42101014700",1375,151,1224
"42101014800",510,80,430
"42101014900",2086,928,1158
"42101015101",797,362,435
"42101015102",1837,564,1273
"42101015200",2283,783,1500
"42101015300",1490,354,1136
"42101015600",608,233,375
"42101015700",1240,787,453
"42101015800",3251,1830,1421
"42101016001",1203,893,310
"42101016002",2190,1442,748
"42101016100",2768,1318,1450
"42101016200",712,314,398
"42101016300",853,368,485
"42101016400",1698,484,1214
"42101016500",1029,316,713
"42101016600",714,201,513
"42101016701",1490,809,681
"42101016702",1003,447,556
"42101016800",1517,864,653
"42101016901",1203,634,569
"42101016902",2018,891,1127
"42101017000",1481,309,1172
"42101017100",1582,929,653
"42101017201",1504,995,509
"42101017202",1683,1100,583
"42101017300",1164,272,892
"42101017400",1035,534,501
"42101017500",2559,1318,1241
"42101017601",1786,826,960
"42101017602",1240,458,782
"42101017701",1189,333,856
"42101017702",1573,873,700
"42101017800",2793,1361,1432
"42101017900",2681,1421,1260
"42101018001",1108,752,356
"42101018002",2307,1737,570
"42101018300",1604,1468,136
"42101018400",897,786,111
"42101018801",1107,450,657
"42101018802",1085,367,718
"42101019000",2356,1502,854
"42101019100",2750,2358,392
"42101019200",2659,1190,1469
"42101019501",1877,680,1197
"42101019502",1150,731,419
"42101019700",2214,1221,993
"42101019800",2178,1411,767
"42101019900",1823,480,1343
"42101020000",474,145,329
"42101020101",1734,493,1241
"42101020102",1593,1004,589
"42101020200",1953,1104,849
"42101020300",1193,702,491
"42101020400",1244,867,377
"42101020500",1683,644,1039
"42101020600",984,257,727
"42101020701",2059,1143,916
"42101020702",684,413,271
"42101020800",1453,558,895
"42101020900",1497,662,835
"42101021000",2602,1287,1315
"42101021100",1299,903,396
"42101021200",1263,867,396
"42101021300",1617,901,716
"42101021400",1944,760,1184
"42101021500",2059,1258,801
"42101021600",1200,371,829
"42101021700",2607,2094,513
"42101021800",2542,642,1900
"42101021900",679,601,78
"42101022000",741,418,323
"42101023100",569,423,146
"42101023500",596,383,213
"42101023600",1114,734,380
"42101023700",2406,1078,1328
"42101023800",2195,855,1340
"42101023900",1191,130,1061
"42101024000",2070,733,1337
"42101024100",673,130,543
"42101024200",1785,651,1134
"42101024300",1885,896,989
"42101024400",1086,676,410
"42101024500",1721,669,1052
"42101024600",1148,377,771
"42101024700",1674,876,798
"42101024800",761,570,191
"42101024900",1087,730,357
"42101025200",3518,1411,2107
"42101025300",2125,1271,854
"42101025400",1889,1193,696
"42101025500",1186,853,333
"42101025600",1170,819,351
"42101025700",2094,612,1482
"42101025800",856,727,129
"42101025900",1985,1639,346
"42101026000",1311,978,333
"42101026100",1345,912,433
"42101026200",1737,1484,253
"42101026301",1575,1438,137
